budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Column1,Name2,tweets analyzed,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweet percentage,P_N,P_N_N,P_Nratio,PandN/Nratio
13000000,Hero Entertainment,USA,Michael Winterbottom,Crime,214966,The Killer Inside Me,R,40529,109,6.1,Casey Affleck,30060,John Curran,2010,5436,The Killer Inside Me,7,5,4,14.28571429,0,0,0,85.71428571,1,1,0,0
170000000,Walt Disney Pictures,USA,Joseph Kosinski,Action,172062763,TRON: Legacy,PG,40529,100,6.8,Jeff Bridges,278124,Edward Kitsis,2010,5300,TRON: Legacy,44,10,23,45.45454545,6,6.818181818,0,47.72727273,1,1,6.666666666,13.66666667
13000000,Fox Searchlight Pictures,USA,Darren Aronofsky,Drama,106954678,Black Swan,R,40529,108,8,Natalie Portman,594148,Mark Heyman,2010,5282,Black Swan,11,1,2,36.36363636,0,0,0,63.63636364,1,1,0,0
0,Asmik Ace Entertainment,Japan,Tran Anh Hung,Drama,13068,Norwegian Wood,NOT RATED,40523,133,6.4,Ken'ichi Matsuyama,9497,Haruki Murakami,2010,5492,Norwegian Wood,7,1,0,28.57142857,0,14.28571429,0,57.14285714,1,1,1.999999999,5.999999998
155000000,Fox 2000 Pictures,USA,Michael Apted,Adventure,104386950,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,40522,113,6.3,Ben Barnes,116260,Christopher Markus,2010,5359,The Chronicles of Narnia: The Voyage of the Dawn Treader,11,8,11,27.27272727,11,9.090909091,0,63.63636364,1,1,3,10
100000000,GK Films,USA,Florian Henckel von Donnersmarck,Action,67631157,The Tourist,PG-13,40522,103,6,Johnny Depp,190376,Florian Henckel von Donnersmarck,2010,5357,The Tourist,34,2,3,52.94117647,2,17.64705882,0,29.41176471,1,2,3.000000001,4.666666668
0,Reliance Big Pictures,Canada,Eli Craig,Comedy,223838,Tucker and Dale vs Evil,R,40521,89,7.6,Tyler Labine,140517,Eli Craig,2010,5322,Tucker and Dale vs Evil,51,30,4,45.09803922,2,45.09803922,2,9.803921569,0,0,1,1.217391304
45000000,Rogue,New Zealand,Sngmoo Lee,Action,5664251,The Warrior's Way,R,40515,100,6.3,Dong-gun Jang,23178,Sngmoo Lee,2010,5471,The Warrior's Way,9,3,0,44.44444444,0,44.44444444,0,11.11111111,0,0,1,1.25
260000000,Walt Disney Animation Studios,USA,Nathan Greno,Animation,200821936,Tangled,PG,40506,100,7.8,Mandy Moore,325621,Dan Fogelman,2010,5294,Tangled,13,2,3,61.53846154,2,15.38461538,0,23.07692308,1,2,4.000000001,5.500000002
0,Prime Focus,India,Sanjay Leela Bhansali,Comedy,1017335,Guzaarish,Not specified,40501,126,7.5,Hrithik Roshan,13312,Sanjay Leela Bhansali,2010,5496,Guzaarish,17,8,20,41.17647059,1,0,0,58.82352941,1,1,0,0
35000000,Lionsgate,USA,Paul Haggis,Crime,21148651,The Next Three Days,PG-13,40501,133,7.4,Russell Crowe,155358,Paul Haggis,2010,5332,The Next Three Days,21,2,1,28.57142857,0,28.57142857,1,42.85714286,0,1,1,2.5
0,Warner Bros.,UK,David Yates,Adventure,295983305,Harry Potter and the Deathly Hallows: Part 1,PG-13,40501,146,7.7,Daniel Radcliffe,368576,Steve Kloves,2010,5285,Harry Potter and the Deathly Hallows: Part 1,24,8,0,29.16666667,0,8.333333333,0,62.5,1,1,3.500000001,11
0,Hughes House Film,Australia,Patrick Hughes,Thriller,20960,Red Hill,R,40487,95,6.4,Ryan Kwanten,7518,Patrick Hughes,2010,5482,Red Hill,7,1,9,57.14285714,9,14.28571429,0,28.57142857,1,2,3.999999999,5.999999998
0,Lionsgate,USA,Tyler Perry,Drama,37721949,For Colored Girls,R,40487,100,6,Janet Jackson,6359,Tyler Perry,2010,5474,For Colored Girls,48,9,9,31.25,4,37.5,2,31.25,0,0,0.833333333,1.666666667
12500000,Omega Entertainment,USA,Tony Goldwyn,Biography,6783129,Conviction,R,40487,107,7.2,Hilary Swank,37145,Pamela Gray,2010,5449,Conviction,21,1,5,52.38095238,4,0,0,47.61904762,1,2,0,0
130000000,DreamWorks Animation,USA,Tom McGrath,Animation,148415853,Megamind,PG,40487,95,7.3,Will Ferrell,188234,Alan Schoolcraft,2010,5353,Megamind,33,2,46,51.51515152,0,15.15151515,0,33.33333333,1,2,3.400000001,5.600000001
3000000,Paramount Pictures,USA,Tod Williams,Horror,84752907,Paranormal Activity 2,R,40473,91,5.7,Katie Featherston,87197,Michael R. Perry,2010,5440,Paranormal Activity 2,6,4,0,0,0,83.33333333,0,16.66666667,0,0,0,0.2
0,Ecosse Films,UK,Sam Taylor-Johnson,Biography,1445366,Nowhere Boy,R,40466,98,7.2,Aaron Taylor-Johnson,30580,Matt Greenhalgh,2009,5225,Nowhere Boy,12,1,2,41.66666667,0,16.66666667,0,41.66666667,1,0,2.5,4.999999999
25000000,Rogue,USA,Wes Craven,Horror,14637490,My Soul to Take,R,40459,100,4.8,Max Thieriot,17312,Wes Craven,2010,5472,My Soul to Take,14,1,1,28.57142857,0,28.57142857,1,42.85714286,0,1,1,2.5
35000000,Walt Disney Pictures,USA,Randall Wallace,Biography,59713955,Secretariat,PG,40459,123,7.2,Diane Lane,22288,Mike Rich,2010,5431,Secretariat,24,1,4,20.83333333,1,16.66666667,0,62.5,1,1,1.25,4.999999999
8000000,Focus Features,USA,Anna Boden,Comedy,6350058,It's Kind of a Funny Story,PG-13,40459,101,7.1,Keir Gilchrist,116014,Anna Boden,2010,5371,It's Kind of a Funny Story,47,8,37,36.17021277,16,17.0212766,2,46.80851064,1,1,2.125,4.874999999
40000000,Columbia Pictures,USA,David Fincher,Biography,96962694,The Social Network,PG-13,40452,120,7.7,Jesse Eisenberg,521956,Aaron Sorkin,2010,5291,The Social Network,43,9,3,58.13953488,2,11.62790698,0,30.23255814,1,2,4.999999998,7.599999998
26000000,Paramount Vantage,USA,Christian Alvart,Horror,13248477,Case 39,R,40452,109,6.2,Renée Zellweger,65254,Ray Wright,2009,5161,Case 39,22,2,4,27.27272727,2,31.81818182,0,40.90909091,0,1,0.857142857,2.142857143
6000000,Sedic International,Japan,Takashi Miike,Action,802524,13 Assassins,R,40446,141,7.6,Kôji Yakusho,54145,Kaneo Ikegami,2010,5414,13 Assassins,22,3,3,18.18181818,0,13.63636364,1,68.18181818,1,1,1.333333333,6.333333331
80000000,Warner Bros.,USA,Zack Snyder,Animation,55675313,Legend of the Guardians: The Owls of Ga'Hoole,PG,40445,97,7,Jim Sturgess,69624,John Orloff,2010,5415,Legend of the Guardians: The Owls of Ga'Hoole,12,8,2,83.33333333,2,0,0,16.66666667,1,2,0,0
70000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Drama,52474616,Wall Street: Money Never Sleeps,PG-13,40445,133,6.2,Shia LaBeouf,88518,Allan Loeb,2010,5363,Wall Street: Money Never Sleeps,13,8,41,53.84615385,37,0,0,46.15384615,1,2,0,0
0,Magnolia Pictures,USA,Bobcat Goldthwait,Comedy,221210,World's Greatest Dad,R,40445,99,6.9,Robin Williams,33634,Bobcat Goldthwait,2009,5237,World's Greatest Dad,17,1,8,29.41176471,2,23.52941176,4,47.05882353,1,1,1.25,3.250000001
60000000,Constantin Film,Germany,Paul W.S. Anderson,Action,60128566,Resident Evil: Afterlife,R,40431,96,5.9,Milla Jovovich,143707,Paul W.S. Anderson,2010,5380,Resident Evil: Afterlife,26,16,12,23.07692308,4,57.69230769,2,19.23076923,0,0,0.4,0.733333333
70000000,Mod Producciones,Spain,Alejandro Amenábar,Adventure,617840,Agora,R,40431,127,7.2,Rachel Weisz,56850,Alejandro Amenábar,2009,5170,Agora,20,2,28,5,0,0,0,95,1,1,0,0
0,Yellow Bird,Sweden,Daniel Alfredson,Crime,9081782,The Girl Who Played with Fire,R,40417,129,7.2,Noomi Rapace,78771,Jonas Frykberg,2009,5169,The Girl Who Played with Fire,5,4,2,60,0,20,0,20,1,2,3,4
24000000,Dimension Films,USA,Alexandre Aja,Comedy,25003155,Piranha 3D,R,40410,88,5.5,Elisabeth Shue,76489,Pete Goldfinger,2010,5341,Piranha 3D,18,11,37,44.44444444,3,16.66666667,3,38.88888889,1,2,2.666666666,4.999999999
20000000,Regency Enterprises,USA,Jason Friedberg,Adventure,36661504,Vampires Suck,PG-13,40408,82,3.5,Jenn Proske,41062,Jason Friedberg,2010,5424,Vampires Suck,10,1,0,20,0,50,0,30,0,0,0.4,1
60000000,Columbia Pictures,USA,Ryan Murphy,Drama,80574010,Eat Pray Love,PG-13,40403,133,5.7,Julia Roberts,69859,Ryan Murphy,2010,5366,Eat Pray Love,68,10,18,70.58823529,3,5.882352941,0,23.52941176,1,2,12,16
80000000,Millennium Films,USA,Sylvester Stallone,Action,103068524,The Expendables,R,40403,103,6.5,Sylvester Stallone,288429,Dave Callaham,2010,5325,The Expendables,54,8,13,55.55555556,10,9.259259259,0,35.18518519,1,2,6.000000001,9.800000001
60000000,Universal Pictures,USA,Edgar Wright,Action,31494270,Scott Pilgrim vs. the World,PG-13,40403,112,7.5,Michael Cera,302029,Michael Bacall,2010,5283,Scott Pilgrim vs. the World,35,5,12,51.42857143,5,22.85714286,0,25.71428571,1,2,2.25,3.374999999
0,Softbank Ventures,South Korea,Jee-woon Kim,Action,128392,I Saw the Devil,NOT RATED,40402,141,7.8,Byung-hun Lee,81507,Jee-woon Kim,2010,5347,I Saw the Devil,46,13,7,32.60869565,0,30.43478261,7,36.95652174,1,1,1.071428571,2.285714286
30000000,Summit Entertainment,USA,Jon M. Chu,Drama,42400223,Step Up 3D,PG-13,40396,107,6.2,Sharni Vinson,50180,Amy Andelson,2010,5418,Step Up 3D,17,9,4,29.41176471,0,17.64705882,0,52.94117647,1,1,1.666666667,4.666666668
100000000,Columbia Pictures,USA,Adam McKay,Action,119219978,The Other Guys,PG-13,40396,107,6.7,Will Ferrell,204044,Adam McKay,2010,5333,The Other Guys,25,3,9,68,9,16,0,16,1,2,4.25,5.25
22000000,Paramount Pictures,USA,George Gallo,Comedy,723714,Middle Men,R,40396,105,6.6,Luke Wilson,33978,George Gallo,2009,5182,Middle Men,10,1,2,30,0,60,2,10,0,0,0.5,0.666666667
0,Cinema Service,South Korea,Jeong-beom Lee,Action,6460,The Man from Nowhere,R,40395,119,7.8,Bin Won,48823,Jeong-beom Lee,2010,5364,The Man from Nowhere,31,6,7,29.03225806,1,16.12903226,0,54.83870968,1,1,1.8,5.199999999
85000000,CD2 Films,USA,Brad Peyton,Action,43585753,Cats & Dogs: The Revenge of Kitty Galore,PG,40389,100,4.3,Bette Midler,11161,Ron J. Friedman,2010,5493,Cats & Dogs: The Revenge of Kitty Galore,5,2,1,40,0,0,0,60,1,1,0,0
0,Paramount Pictures,USA,Jay Roach,Comedy,73026337,Dinner for Schmucks,PG-13,40389,114,5.9,Steve Carell,84651,David Guion,2010,5407,Dinner for Schmucks,38,19,0,42.10526316,0,28.94736842,0,28.94736842,1,2,1.454545455,2.454545455
44000000,Universal Pictures,USA,Burr Steers,Drama,31162545,Charlie St. Cloud,PG-13,40389,100,6.5,Zac Efron,50872,Craig Pearce,2010,5351,Charlie St. Cloud,26,18,1,42.30769231,0,19.23076923,1,38.46153846,1,2,2.2,4.2
15000000,Fox 2000 Pictures,USA,Elizabeth Allen Rosenbaum,Adventure,26161406,Ramona and Beezus,G,40382,100,6.7,Joey King,14808,Laurie Craig,2010,5346,Ramona and Beezus,23,3,11,47.82608696,8,4.347826087,0,47.82608696,1,0,11,22
110000000,Columbia Pictures,USA,Phillip Noyce,Action,118311368,Salt,PG-13,40382,100,6.4,Angelina Jolie,259831,Kurt Wimmer,2010,5324,Salt,22,1,2,40.90909091,1,9.090909091,1,50,1,1,4.5,10
