Budget,Genre,Gross,Name,Negative Percentage,Negative Retweets,Neutral Tweets,Positive Percentage,Positive Retweets,Runtime,Score,Tweets Analyzed,Votes,Year,SentClass2,SentClass3,SentRatio
180000000,Action,241410378,Maleficent,9.090909091,149,70.12987013,20.77922078,1755,97,7,77,275137,2014,0,1,2.285714286
30000000,Action,71038190,Paul Blart: Mall Cop 2,12.5,0,62.5,25,0,94,4.4,16,27268,2015,0,1,2
190000000,Action,93436322,Tomorrowland,0,0,86.95652174,13.04347826,75,130,6.5,46,147385,2015,0,1,0
125000000,Action,33370166,Monster Trucks,8.602150538,2,54.83870968,36.55913978,24,104,5.7,93,9244,2016,0,1,4.249999999
65000000,Action,76204454,Pete's Dragon,10.52631579,270,47.36842105,42.10526316,190,102,6.7,95,41083,2016,0,1,4
4000000,Adventure,864959,Mirrormask,15.625,15726,53.125,31.25,34675,101,6.9,64,20947,2005,0,1,2
65000000,Adventure,71726025,RV,1.030927835,0,84.53608247,14.43298969,65193,99,5.5,97,49145,2006,0,1,14
26000000,Adventure,16647384,Unaccompanied Minors,25.71428571,343,48.57142857,25.71428571,98,90,5.1,35,8970,2006,0,1,1
65000000,Adventure,82226474,The Pink Panther,66.66666667,215,4.166666667,29.16666667,4,93,5.6,48,70105,2006,0,0,0.4375
15000000,Adventure,20998709,Flicka,6.976744186,16056,73.25581395,19.76744186,227075,95,6.2,86,6494,2006,0,1,2.833333333
13000000,Adventure,10996440,The Astronaut Farmer,0,0,66.66666667,33.33333333,0,104,6.3,6,20587,2006,0,1,0
110000000,Adventure,250863268,Night at the Museum,9.677419355,1,66.66666667,23.65591398,26,108,6.4,93,257969,2006,0,1,2.444444445
40000000,Adventure,81612565,Eight Below,12,6,24,64,223,120,7.3,25,52356,2006,1,2,5.333333333
40000000,Adventure,40412817,Mi mascota es un monstruo,0,0,100,0,0,112,6.5,1,33637,2007,0,1,0
45000000,Adventure,8791738,The Seeker: The Dark Is Rising,100,0,0,0,0,99,4.8,2,13682,2007,0,0,0
17000000,Adventure,82272442,Bridge to Terabithia,16.27906977,27,56.97674419,26.74418605,14,96,7.2,86,119947,2007,0,1,1.642857143
20000000,Adventure,94514402,Beverly Hills Chihuahua,11,1,73,16,2,91,3.7,100,18775,2008,0,1,1.454545455
60000000,Adventure,11802056,Meet Dave,19.11764706,204480,35.29411765,45.58823529,108944,90,4.9,68,33540,2008,1,2,2.384615384
37000000,Adventure,48006503,Nim's Island,15.38461538,2,46.15384615,38.46153846,12489,96,6,52,29611,2008,0,1,2.500000001
55000000,Adventure,7873007,City of Ember,9.574468085,60,50,40.42553191,141,90,6.5,94,56120,2008,0,1,4.222222222
90000000,Adventure,71195053,The Spiderwick Chronicles,12.82051282,6,57.69230769,29.48717949,100,96,6.6,78,74370,2008,0,1,2.3
